,author_id,scholarly_output,citations_per_pub,citations,FWCI,h_index,FW_output_in_top,oldest_pub,no_first_old,no_pubs_old,avg_fwci_old,avg_fwvi_old,avg_citescore_old,risingStar
2016,57194055956.0,2,29.0,58,1.94,2,1,2017,0.0,1.0,3.74,1.24,14.0,False
2017,57194056836.0,2,23.5,47,0.98,9,0,2017,0.0,8.0,0.9924999999999999,1.27,5.0249999999999995,False
2018,57194058183.0,4,7.0,28,0.48,4,0,2017,0.0,4.0,0.4825,0.9949999999999999,11.399999999999999,False
2019,57194058193.0,1,56.0,56,2.22,1,0,2017,0.0,1.0,2.22,0.99,7.5,False
2020,57194058359.0,1,13.0,13,0.96,1,0,2017,0.0,0.0,0.0,0.0,0.0,True
2021,57194058379.0,1,20.0,20,1.19,1,0,2017,0.0,1.0,1.19,1.15,14.3,False
2022,57194058747.0,1,21.0,21,2.17,1,0,2017,0.0,1.0,2.17,1.02,1.1,False
2023,57194060236.0,9,8.4,76,0.53,5,0,2017,0.0,4.0,0.6,0.7150000000000001,12.3,True
2024,57194060487.0,2,27.5,55,1.63,2,1,2017,0.0,1.0,0.88,0.89,4.3,False
2025,57194060636.0,1,13.0,13,0.35,1,0,2017,0.0,1.0,0.35,1.7,5.7,False
2026,57194060931.0,4,5.5,22,0.37,2,0,2017,0.0,1.0,0.0,1.22,0.0,True
2027,57194064160.0,6,5.2,31,0.88,3,1,2017,0.0,2.0,0.9299999999999999,0.69,1.85,True
2028,57194065444.0,11,4.5,50,0.27,3,0,2017,0.0,4.0,0.2525,1.6099999999999999,3.6500000000000004,False
2029,57194066441.0,1,14.0,14,1.0,3,0,2017,0.0,1.0,0.17,0.57,0.8,False
2030,57194067383.0,1,12.0,12,1.52,1,0,2017,0.0,1.0,1.52,2.22,3.4,False
2031,57194067666.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,1.57,3.7,False
2032,57194069628.0,2,3.0,6,0.72,3,0,2017,0.0,1.0,0.27,1.42,4.1,True
2033,57194070787.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,1.57,3.7,False
2034,57194073720.0,1,2.0,2,0.0,1,0,2017,0.0,2.0,0.0,1.36,1.6,False
2035,57194076602.0,4,12.0,48,1.09,5,0,2017,0.0,1.0,1.34,2.36,8.3,False
2036,57194082815.0,1,2.0,2,0.16,1,0,2017,0.0,1.0,0.16,2.73,0.1,False
2037,57194083302.0,3,3.7,11,0.42,2,0,2017,0.0,1.0,0.66,1.91,4.1,False
2038,57194083782.0,2,28.5,57,1.7,2,0,2017,0.0,2.0,1.7000000000000002,1.955,5.75,False
2039,57194084929.0,2,6.0,12,0.28,1,0,2017,0.0,1.0,0.1,1.04,1.7,False
2040,57194089732.0,1,11.0,11,1.14,1,0,2017,0.0,1.0,1.14,3.26,2.6,False
2041,57194092583.0,2,3.0,6,1.41,1,1,2017,0.0,2.0,1.415,1.795,2.1,False
2042,57194099707.0,3,2.7,8,1.0,2,1,2017,0.0,3.0,1.0066666666666666,1.61,3.4333333333333336,False
2043,57194100920.0,1,27.0,27,0.95,1,0,2017,0.0,1.0,0.95,2.07,10.7,False
2044,57194100952.0,2,7.0,14,0.32,2,0,2017,0.0,1.0,0.47,0.98,4.8,False
2045,57194102811.0,1,9.0,9,0.15,1,0,2017,0.0,1.0,0.15,0.53,3.8,False
2046,57194104451.0,5,3.8,19,0.44,3,0,2017,0.0,1.0,0.25,0.62,0.9,True
2047,57194105392.0,1,27.0,27,0.95,1,0,2017,0.0,1.0,0.95,2.07,10.7,False
2048,57194107726.0,1,4.0,4,0.26,1,0,2017,0.0,1.0,0.26,0.76,3.5,False
2049,57194107961.0,1,14.0,14,1.16,1,0,2017,0.0,2.0,1.16,1.88,2.1,False
2050,57194109459.0,3,5.0,15,0.3,4,0,2017,0.0,1.0,0.08,0.59,2.2,True
2051,57194109609.0,3,6.3,19,0.54,3,0,2017,0.0,4.0,0.32499999999999996,1.335,3.6500000000000004,False
2052,57194109806.0,2,5.0,10,0.37,2,0,2017,0.0,1.0,0.4,2.25,4.8,False
2053,57194111241.0,1,5.0,5,0.23,1,0,2017,0.0,1.0,0.23,0.68,4.6,False
2054,57194111460.0,2,9.0,18,0.63,2,0,2017,0.0,1.0,0.23,0.68,4.6,True
2055,57194112908.0,2,5.0,10,0.58,5,0,2017,0.0,1.0,1.04,0.67,3.9,False
2056,57194114042.0,9,16.8,151,1.49,8,3,2017,0.0,1.0,2.36,3.61,18.1,False
2057,57194117689.0,7,16.3,114,0.61,4,0,2017,0.0,3.0,0.6533333333333333,0.7666666666666666,4.266666666666667,True
2058,57194119013.0,2,19.5,39,1.34,3,0,2017,0.0,2.0,1.345,3.21,5.15,False
2059,57194122336.0,5,22.8,114,0.86,4,0,2017,0.0,1.0,1.12,1.86,2.8,False
2060,57194122972.0,3,7.3,22,0.94,3,0,2017,0.0,5.0,0.8240000000000001,4.58,3.12,False
2061,57194124438.0,8,12.0,96,0.54,3,0,2017,0.0,2.0,1.22,1.04,7.25,False
2062,57194125780.0,2,2.5,5,0.14,1,0,2017,0.0,1.0,0.27,0.49,2.9,False
2063,57194129823.0,2,7.0,14,0.49,3,0,2017,0.0,2.0,0.49,0.8200000000000001,5.0,False
2064,57194130661.0,1,27.0,27,0.82,1,0,2017,0.0,1.0,0.82,0.68,5.7,False
2065,57194131270.0,1,8.0,8,0.44,2,0,2017,0.0,1.0,0.44,1.0,4.6,False
2066,57194131462.0,12,3.8,45,2.31,5,4,2017,0.0,1.0,0.35,1.92,0.4,True
2067,57194131779.0,5,2.2,11,0.31,3,0,2017,0.0,1.0,0.52,1.23,1.0,True
2068,57194132367.0,5,5.2,26,0.7,4,0,2017,0.0,2.0,0.705,1.32,3.2,False
2069,57194133243.0,1,1.0,1,0.0,1,0,2017,0.0,1.0,0.0,1.01,5.5,False
2070,57194133463.0,1,1.0,1,0.07,1,0,2017,0.0,1.0,0.07,1.69,5.8,False
2071,57194135857.0,1,8.0,8,0.44,1,0,2017,0.0,1.0,0.44,1.0,4.6,False
